Default,LOAN,MORTDUE,VALUE,REASON,Reason_D,JOB,Mgr_D,Office_D,Prof_D,Sales_D,Self_D,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
0,4200,56544,59218,HomeImp,1,Office,0,1,0,0,0,19,0,0,211.0025991,1,20,19.02770443
0,4200,66272,82953,HomeImp,1,Other,0,0,0,0,0,3,0,0,110.2786626,0,15,43.45058791
0,4200,50216,58541,HomeImp,1,Office,0,1,0,0,0,19,0,0,209.8713022,0,19,20.20803267
0,4300,71206,78698,DebtCon,0,Sales,0,0,0,1,0,3,0,0,129.932869,0,31,34.18137652
0,4300,68815,79852,HomeImp,1,Other,0,0,0,0,0,6,0,0,105.1207088,0,14,41.80637615
0,4300,72021,80027,HomeImp,1,Other,0,0,0,0,0,2,2,0,263.9703003,0,5,36.43209394
0,4400,53969,63869,DebtCon,0,ProfExe,0,0,1,0,0,7,0,3,162.3900107,0,30,23.58107924
1,4400,53091,64074,DebtCon,0,Office,0,1,0,0,0,14,1,3,89.86105825,0,17,39.15808483
0,4500,66127,79087,HomeImp,1,Other,0,0,0,0,0,4,1,0,81.3490651,0,15,40.70530876
0,4500,71082,79247,HomeImp,1,Other,0,0,0,0,0,4,0,0,118.7604101,0,14,41.42111052
0,4700,67913,97205,,0,Mgr,1,0,0,0,0,2,0,0,142.8243915,0,24,35.22699719
0,4700,71855,88566,HomeImp,1,Other,0,0,0,0,0,2,2,0,283.9595381,0,5,36.47547328
0,4700,88026,115506,HomeImp,1,ProfExe,0,0,1,0,0,6,0,0,182.2483316,0,27,29.20902258
0,4800,67317,97191,,0,Mgr,1,0,0,0,0,3,0,0,137.3197248,0,23,34.27529378
0,4800,56067,63102,DebtCon,0,ProfExe,0,0,1,0,0,9,0,3,160.1463113,1,30,21.58376012
0,4800,80482,88342,HomeImp,1,ProfExe,0,0,1,0,0,7,0,0,275.0323948,0,11,43.71763511
0,4900,58688,63348,DebtCon,0,ProfExe,0,0,1,0,0,9,0,3,179.1625747,2,31,22.54439284
0,4900,65873,90408,,0,Mgr,1,0,0,0,0,2,0,0,141.858999,0,23,37.76961861
1,4900,25597,23031,HomeImp,1,Other,0,0,0,0,0,5,0,0,101.7467664,0,8,33.24315698
0,4900,67794,84630,HomeImp,1,Other,0,0,0,0,0,4,0,0,112.5734189,0,15,41.67399636
1,4900,65576,65774,HomeImp,1,Other,0,0,0,0,0,6,1,2,61.64250608,1,14,40.59091002
0,4900,57461,68494,DebtCon,0,ProfExe,0,0,1,0,0,8,0,4,183.6356132,0,30,22.79542355
0,5000,66839,87168,HomeImp,1,Other,0,0,0,0,0,4,0,0,122.5972226,0,15,40.61677935
0,5000,90059,113714,HomeImp,1,ProfExe,0,0,1,0,0,7,0,0,193.6364469,0,28,25.89731648
0,5000,80153,97275,DebtCon,0,Other,0,0,0,0,0,1,0,0,120.6750632,2,10,37.51270841
0,5000,68739,93435,,0,Mgr,1,0,0,0,0,3,0,0,148.7204047,0,23,36.66927861
1,5000,46696,85202,HomeImp,1,Other,0,0,0,0,0,2,1,2,148.3406455,0,14,46.489874
0,5000,66435,82819,HomeImp,1,Other,0,0,0,0,0,2,0,0,125.1306256,0,14,42.18353867
0,5100,85583,115341,HomeImp,1,ProfExe,0,0,1,0,0,7,0,0,177.9582551,1,28,26.25797013
0,5100,72891,80691,HomeImp,1,Other,0,0,0,0,0,1,1,0,273.8817052,0,6,39.85214652
0,5100,87258,121382,HomeImp,1,ProfExe,0,0,1,0,0,6,0,0,181.6630402,0,28,25.44475915
1,5100,129319,141875,HomeImp,1,Sales,0,0,0,1,0,7,1,0,157.8598021,0,36,25.65074122
0,5100,66834,87361,HomeImp,1,Other,0,0,0,0,0,0,2,0,290.034108,0,6,38.76698507
0,5100,73882,96031,DebtCon,0,Other,0,0,0,0,0,0,0,0,125.7874001,1,10,34.44607922
0,5100,74071,97064,DebtCon,0,Other,0,0,0,0,0,0,0,0,121.0759726,2,9,36.40172955
0,5100,62702,79784,HomeImp,1,Other,0,0,0,0,0,2,0,0,108.0725908,0,15,43.29013982
1,5200,40564,39527,HomeImp,1,Other,0,0,0,0,0,0,0,0,157.7710357,1,13,72.67043331
0,5300,66987,65111,HomeImp,1,Sales,0,0,0,1,0,4,1,0,175.3287038,1,22,40.44257039
0,5300,75958,91703,DebtCon,0,Other,0,0,0,0,0,0,0,0,124.1821788,1,10,34.59906019
0,5300,97132,117343,HomeImp,1,Office,0,1,0,0,0,22,0,0,109.9339079,1,11,35.8385427
0,5300,47449,63895,HomeImp,1,Office,0,1,0,0,0,19,0,0,208.162714,0,20,19.7621137
0,5300,50934,62957,HomeImp,1,Office,0,1,0,0,0,21,0,0,197.2419573,0,20,19.35050563
0,5400,86922,119846,HomeImp,1,ProfExe,0,0,1,0,0,5,0,0,185.0763473,1,28,26.3548893
0,5400,68625,82304,DebtCon,0,Sales,0,0,0,1,0,2,0,0,136.6329442,0,30,32.05002349
0,5400,65814,85848,HomeImp,1,Other,0,0,0,0,0,4,0,0,122.9402886,0,15,44.09232568
0,5500,70481,82446,HomeImp,1,Other,0,0,0,0,0,8,0,1,116.5919769,0,24,37.61268272
0,5500,87765,101053,DebtCon,0,ProfExe,0,0,1,0,0,22,0,0,55.55804904,2,13,31.37554242
0,5500,52897,65054,HomeImp,1,Office,0,1,0,0,0,20,0,0,189.2953185,0,19,20.6541289
0,5500,93051,115374,HomeImp,1,ProfExe,0,0,1,0,0,6,0,0,187.0205188,1,27,27.64674851
0,5500,87438,116679,HomeImp,1,ProfExe,0,0,1,0,0,6,0,0,186.424416,1,27,28.4175309
0,5500,72147,69918,HomeImp,1,Sales,0,0,0,1,0,4,2,0,158.5344979,0,23,43.40443024
1,5500,40584,46645,HomeImp,1,Other,0,0,0,0,0,4,0,1,136.3206375,0,13,34.49470897
1,5500,37368,48502,HomeImp,1,Mgr,1,0,0,0,0,9,0,2,48.995845,0,10,33.12648397
0,5500,71644,72696,HomeImp,1,Sales,0,0,0,1,0,4,2,0,150.8658451,0,22,40.44256779
1,5500,85845,122205,DebtCon,0,ProfExe,0,0,1,0,0,5,0,0,172.2132767,1,26,32.67664088
0,5600,53793,66379,HomeImp,1,Office,0,1,0,0,0,22,0,0,206.0991341,0,19,18.36954053
0,5600,69435,83489,DebtCon,0,ProfExe,0,0,1,0,0,14,0,0,200.418434,1,17,22.84109285
0,5600,29648,39907,HomeImp,1,ProfExe,0,0,1,0,0,11,0,0,180.5630691,0,13,21.55494966
0,5600,76407,77485,HomeImp,1,Other,0,0,0,0,0,9,0,0,91.68377063,0,24,37.77335098
0,5700,100934,111496,HomeImp,1,Office,0,1,0,0,0,23,0,0,117.4995929,0,12,38.75056267
0,5700,49514,58249,HomeImp,1,Office,0,1,0,0,0,21,0,0,212.5391151,0,21,21.25802688
0,5700,76948,85753,HomeImp,1,Other,0,0,0,0,0,7,0,0,128.4764515,0,25,37.85968784
0,5700,28127,36524,HomeImp,1,ProfExe,0,0,1,0,0,10,0,0,181.2829568,0,13,24.33953357
0,5700,26927,35461,DebtCon,0,Other,0,0,0,0,0,0,1,0,21.79935215,10,6,29.43966424
1,5700,77213,92661,DebtCon,0,Sales,0,0,0,1,0,0,0,0,97.13317095,1,16,41.77788863
0,5700,62319,82923,HomeImp,1,Other,0,0,0,0,0,4,0,0,117.6739652,0,15,42.46486629
0,5700,71556,79538,HomeImp,1,Other,0,0,0,0,0,2,0,0,92.64308456,0,15,41.21001247
1,5700,74172,79846,DebtCon,0,ProfExe,0,0,1,0,0,0,0,0,157.0097747,0,28,47.41522866
0,5700,28116,33450,DebtCon,0,Other,0,0,0,0,0,0,1,0,15.39658739,9,7,30.0170133
0,5800,75000,90543,DebtCon,0,Mgr,1,0,0,0,0,18,0,0,300.4872058,1,23,38.94057536
0,5800,79296,86885,DebtCon,0,Mgr,1,0,0,0,0,19,0,1,307.9748816,1,23,39.95910877
1,5800,27791,46833,DebtCon,0,Mgr,1,0,0,0,0,3,0,0,83.28906275,1,13,30.18780539
0,5800,46595,58191,HomeImp,1,Other,0,0,0,0,0,5,0,0,80.13174641,0,17,24.14015367
0,5900,70973,77989,HomeImp,1,Other,0,0,0,0,0,7,0,0,120.3794143,0,24,41.44250046
1,5900,25972,41856,DebtCon,0,Other,0,0,0,0,0,2,0,2,157.9600114,3,27,40.62827818
0,5900,74187,78976,HomeImp,1,Other,0,0,0,0,0,9,0,1,118.442491,0,24,40.11040743
0,6000,95232,115977,HomeImp,1,Office,0,1,0,0,0,22,0,0,149.0229081,1,12,37.95433691
0,6000,79046,103048,HomeImp,1,Other,0,0,0,0,0,0,0,0,181.696538,0,32,37.28998992
0,6100,91704,114799,HomeImp,1,Office,0,1,0,0,0,22,0,0,129.2500896,1,12,36.74676624
0,6100,47604,54966,HomeImp,1,Other,0,0,0,0,0,5,0,0,70.69532973,0,18,24.76674453
1,6100,62751,95617,HomeImp,1,Other,0,0,0,0,0,1,0,0,138.6468632,1,13,31.75727069
0,6100,68743,65321,HomeImp,1,Sales,0,0,0,1,0,3,1,0,153.0667831,0,22,40.15052706
0,6100,79636,87276,HomeImp,1,Other,0,0,0,0,0,20,0,0,350.4361376,0,47,28.84827658
0,6200,75657,84368,DebtCon,0,Sales,0,0,0,1,0,4,0,0,122.244945,0,30,32.55254334
0,6200,46601,59486,HomeImp,1,Other,0,0,0,0,0,5,0,0,84.63211066,0,18,25.35001036
0,6200,60354,87596,HomeImp,1,ProfExe,0,0,1,0,0,5,0,0,210.1730647,2,23,34.05481124
0,6200,70793,71552,HomeImp,1,Sales,0,0,0,1,0,3,2,0,162.9451569,0,23,40.31539659
0,6200,73881,98550,HomeImp,1,Other,0,0,0,0,0,0,0,1,182.8787798,0,31,37.19944569
0,6200,133882,155222,HomeImp,1,ProfExe,0,0,1,0,0,9,0,0,212.5376432,0,19,20.61678366
0,6200,75623,89634,HomeImp,1,Other,0,0,0,0,0,24,0,0,324.6868294,0,47,28.2855321
0,6300,99469,116260,HomeImp,1,Office,0,1,0,0,0,23,0,0,124.7455955,1,12,35.64227011
0,6300,78724,80355,HomeImp,1,Other,0,0,0,0,0,24,0,0,335.0741426,1,46,31.1772613
0,6300,92659,117352,HomeImp,1,ProfExe,0,0,1,0,0,6,0,0,199.0119272,0,27,26.52004952
0,6300,58052,70091,DebtCon,0,ProfExe,0,0,1,0,0,9,0,4,153.7804385,1,30,21.71959598
1,6300,12476,32559,HomeImp,1,Office,0,1,0,0,0,12,3,6,227.1299051,0,23,23.31951678
0,6300,69357,73726,HomeImp,1,Sales,0,0,0,1,0,3,2,0,163.2839332,1,22,42.40781425
0,6300,26655,29792,DebtCon,0,Other,0,0,0,0,0,1,1,0,12.75926745,10,6,28.36185178
0,6400,53476,70157,DebtCon,0,ProfExe,0,0,1,0,0,7,0,3,164.3154099,1,30,21.13798157
0,6400,81116,86148,HomeImp,1,ProfExe,0,0,1,0,0,8,0,0,262.1754261,0,11,42.06826818
0,6400,17491,63614,HomeImp,1,Office,0,1,0,0,0,23,0,0,325.2993087,0,12,40.24440437
0,6400,62746,75016,DebtCon,0,ProfExe,0,0,1,0,0,12,0,0,133.1015478,0,20,40.18812313
0,6400,76732,78084,HomeImp,1,Other,0,0,0,0,0,8,0,0,109.1930214,0,26,37.96455432
0,6400,70035,78635,DebtCon,0,Sales,0,0,0,1,0,3,0,0,147.0771635,0,31,31.20612976
0,6400,28041,33438,DebtCon,0,Other,0,0,0,0,0,1,1,0,10.42564285,10,6,29.75370028
0,6400,57887,74776,HomeImp,1,Mgr,1,0,0,0,0,3,0,1,126.3286437,0,22,28.75634543
1,6500,60054,70434,HomeImp,1,Other,0,0,0,0,0,1,0,0,127.0627016,2,21,37.80035293
0,6500,63144,76754,HomeImp,1,Mgr,1,0,0,0,0,2,0,2,129.0777116,0,23,29.05543313
0,6500,33639,37345,HomeImp,1,ProfExe,0,0,1,0,0,11,0,0,191.0756559,0,13,24.22731934
0,6500,81145,117530,HomeImp,1,Office,0,1,0,0,0,29,0,0,327.2006385,1,38,34.34583769
1,6500,183860,208910,DebtCon,0,ProfExe,0,0,1,0,0,4,6,0,86.45222694,6,29,69.8005248
0,6500,58689,72557,DebtCon,0,Other,0,0,0,0,0,0,0,1,94.00805286,2,18,34.89841307
0,6600,62380,89742,HomeImp,1,Office,0,1,0,0,0,31,0,0,232.5272907,0,16,26.16049489
0,6600,68733,81973,HomeImp,1,Other,0,0,0,0,0,5,0,0,96.9776672,0,14,42.21104678
0,6600,95450,112630,HomeImp,1,Office,0,1,0,0,0,23,0,0,122.8155841,0,12,36.77345872
0,6700,55113,56486,HomeImp,1,Other,0,0,0,0,0,4,0,0,84.41703046,0,17,23.64285383
1,6700,60301,70543,HomeImp,1,ProfExe,0,0,1,0,0,5,0,0,195.7808633,0,19,32.39759341
0,6700,49367,59609,HomeImp,1,Other,0,0,0,0,0,6,0,0,99.30370078,0,17,25.23136638
0,6700,58741,68225,DebtCon,0,ProfExe,0,0,1,0,0,9,0,3,173.5744163,1,31,23.58701323
1,6700,27510,42495,DebtCon,0,Other,0,0,0,0,0,2,0,2,171.5264892,3,27,41.42859751
0,6700,69773,83014,HomeImp,1,Other,0,0,0,0,0,0,1,0,263.1734343,0,5,37.70699649
0,6700,51855,58084,HomeImp,1,Office,0,1,0,0,0,21,0,0,193.7547457,0,19,19.5495717
0,6700,29662,36195,HomeImp,1,Office,0,1,0,0,0,1,0,0,112.1370807,1,30,38.52863281
0,6700,66587,70710,DebtCon,0,ProfExe,0,0,1,0,0,9,1,0,43.92338263,1,24,39.73857627
0,6700,54161,59714,HomeImp,1,Office,0,1,0,0,0,20,0,0,209.2063004,0,20,20.20351771
0,6700,134616,155034,HomeImp,1,ProfExe,0,0,1,0,0,13,1,0,215.4224064,0,19,19.49387198
0,6800,136951,160306,HomeImp,1,ProfExe,0,0,1,0,0,11,0,0,219.7356734,1,18,20.8850935
0,6800,138691,160063,HomeImp,1,ProfExe,0,0,1,0,0,12,0,0,208.420843,0,19,19.33336736
0,6800,139578,154602,HomeImp,1,ProfExe,0,0,1,0,0,12,0,0,201.9608343,0,18,22.32582879
0,6800,57439,74816,HomeImp,1,Mgr,1,0,0,0,0,2,0,2,126.3032351,0,22,27.11865353
0,6800,76074,88178,HomeImp,1,Other,0,0,0,0,0,22,0,0,341.4650556,0,46,27.52324614
0,6800,56155,57912,HomeImp,1,Office,0,1,0,0,0,21,0,0,206.3063213,0,20,21.79851308
0,6800,71666,99913,HomeImp,1,Other,0,0,0,0,0,0,0,1,196.4649989,0,31,35.76160473
0,6800,75964,88754,DebtCon,0,Mgr,1,0,0,0,0,19,0,1,298.7004822,0,23,39.10750164
0,6900,75880,113612,DebtCon,0,Office,0,1,0,0,0,1,0,0,230.8055881,1,38,17.96588344
0,6900,70717,87466,HomeImp,1,Other,0,0,0,0,0,2,0,0,112.5890607,0,15,41.4280899
0,6900,53776,51952,HomeImp,1,Other,0,0,0,0,0,5,0,0,87.90011834,0,17,22.28699748
1,6900,53328,58088,DebtCon,0,Sales,0,0,0,1,0,2,0,0,101.5319079,0,21,35.76405836
1,6900,57257,63752,DebtCon,0,Other,0,0,0,0,0,10,2,0,138.234778,0,22,38.37246088
0,6900,97662,110046,HomeImp,1,Office,0,1,0,0,0,24,0,0,111.1233973,0,11,37.25315085
0,6900,49932,66042,HomeImp,1,Office,0,1,0,0,0,20,0,0,204.4845828,0,19,21.85549413
0,7000,73873,111781,DebtCon,0,Office,0,1,0,0,0,0,0,0,231.7999135,0,38,19.27357946
0,7000,74795,99149,HomeImp,1,Other,0,0,0,0,0,1,0,1,175.5714428,0,32,34.44966467
0,7000,78284,98214,HomeImp,1,Other,0,0,0,0,0,0,0,1,171.8383862,0,31,36.24796303
0,7000,58128,93740,HomeImp,1,ProfExe,0,0,1,0,0,5,0,0,213.3630277,2,24,34.47530193
0,7000,81335,81018,HomeImp,1,Other,0,0,0,0,0,22,0,0,341.6105761,1,47,27.76729977
0,7000,52287,87972,HomeImp,1,ProfExe,0,0,1,0,0,7,0,0,211.2844132,1,24,33.46140225
0,7000,46238,66842,DebtCon,0,Office,0,1,0,0,0,4,0,0,90.38040908,3,11,36.30952679
0,7000,64255,68389,HomeImp,1,Other,0,0,0,0,0,4,0,0,80.15243091,2,19,40.56186054
0,7000,129959,161301,HomeImp,1,ProfExe,0,0,1,0,0,11,0,0,209.9862995,0,18,21.91795226
0,7000,58114,93391,HomeImp,1,ProfExe,0,0,1,0,0,6,0,0,200.0777551,1,24,31.73651179
0,7000,16047,67750,HomeImp,1,Office,0,1,0,0,0,21,0,0,315.3214527,0,12,38.6936558
0,7100,98490,114457,HomeImp,1,Office,0,1,0,0,0,23,0,0,116.1000871,0,11,35.60189425
0,7100,25896,33580,DebtCon,0,Other,0,0,0,0,0,1,0,0,29.85636517,9,7,28.27147416
0,7100,120176,180104,DebtCon,0,Other,0,0,0,0,0,8,0,0,221.6073242,0,18,32.67435897
0,7100,58639,72412,DebtCon,0,ProfExe,0,0,1,0,0,14,0,0,120.0334646,0,20,43.67874666
0,7100,57863,70969,DebtCon,0,Other,0,0,0,0,0,0,0,0,65.87204481,7,21,26.82949019
0,7100,64850,76985,HomeImp,1,Other,0,0,0,0,0,0,0,0,108.2171898,0,7,36.33755756
0,7100,53273,54378,HomeImp,1,Other,0,0,0,0,0,5,0,0,84.83724997,0,17,22.86119965
0,7200,62329,78007,DebtCon,0,ProfExe,0,0,1,0,0,8,0,0,55.35880309,1,23,38.64027711
0,7200,57912,84806,HomeImp,1,Other,0,0,0,0,0,15,0,0,241.5142498,0,35,35.06267566
0,7200,98691,115750,HomeImp,1,Office,0,1,0,0,0,22,0,0,118.0001423,0,11,37.72035861
0,7200,79946,113807,DebtCon,0,Office,0,1,0,0,0,1,0,0,238.458825,0,37,18.61728869
1,7200,15637,39660,HomeImp,1,Self,0,0,0,0,1,6,0,1,354.2397634,3,42,33.62413345
0,7200,71667,117325,DebtCon,0,Office,0,1,0,0,0,0,0,1,241.0560781,1,38,18.51055133
0,7200,22832,31666,DebtCon,0,Other,0,0,0,0,0,0,0,0,38.00326685,9,7,28.29568112
0,7300,55456,86766,HomeImp,1,ProfExe,0,0,1,0,0,6,0,0,240.0567715,2,23,31.7246985
0,7300,60973,79443,HomeImp,1,Other,0,0,0,0,0,14,0,0,239.6202977,1,36,36.72713636
0,7300,139348,205981,DebtCon,0,ProfExe,0,0,1,0,0,1,0,0,60.42476076,2,22,36.81229063
0,7400,32832,50798,DebtCon,0,Other,0,0,0,0,0,10,0,0,221.3384208,1,31,36.00942149
0,7400,138033,163162,HomeImp,1,ProfExe,0,0,1,0,0,11,0,0,224.8470425,0,19,21.05757402
0,7400,88288,119677,HomeImp,1,ProfExe,0,0,1,0,0,5,0,0,194.37214,1,27,26.64608364
0,7400,73985,114849,DebtCon,0,Office,0,1,0,0,0,0,0,0,238.5863034,1,38,18.42136986
0,7400,51974,59323,HomeImp,1,Other,0,0,0,0,0,4,0,0,83.34671188,0,18,23.39763463
0,7400,56596,72861,HomeImp,1,Mgr,1,0,0,0,0,3,0,1,141.9621493,0,23,28.30024564
1,7400,71576,89068,DebtCon,0,Sales,0,0,0,1,0,0,0,0,94.78223069,0,17,42.803422
0,7400,65032,83184,HomeImp,1,Other,0,0,0,0,0,15,0,0,230.4202559,1,35,35.41511292
0,7400,82412,91326,DebtCon,0,Mgr,1,0,0,0,0,19,0,1,316.9470825,1,24,37.90875019
0,7500,47518,60252,DebtCon,0,Other,0,0,0,0,0,16,0,3,220.6249839,0,37,26.71153647
0,7500,63573,80601,HomeImp,1,Other,0,0,0,0,0,4,0,0,111.4351899,0,14,41.77344662
1,7500,32070,36811,DebtCon,0,Other,0,0,0,0,0,1,1,0,228.0360001,0,6,30.16221411
0,7500,72097,69408,HomeImp,1,Sales,0,0,0,1,0,4,1,0,155.3919622,1,23,41.60098336
0,7500,84479,104571,DebtCon,0,ProfExe,0,0,1,0,0,23,0,0,47.83285134,3,14,33.07501037
0,7500,88056,104794,DebtCon,0,ProfExe,0,0,1,0,0,25,0,0,56.75011314,2,14,30.53890697
0,7500,11358,36892,DebtCon,0,Other,0,0,0,0,0,5,0,0,286.9228238,0,11,23.06292573
1,7500,12115,35910,HomeImp,1,Office,0,1,0,0,0,13,3,6,234.9007508,0,24,24.66227667
0,7500,67778,83368,DebtCon,0,ProfExe,0,0,1,0,0,15,0,0,227.2920898,0,17,24.09177036
0,7500,60192,76475,DebtCon,0,ProfExe,0,0,1,0,0,8,0,0,60.50362521,2,24,39.28051238
0,7500,57213,92458,HomeImp,1,Office,0,1,0,0,0,28,0,0,243.1571192,1,16,23.99235335
0,7600,133475,203936,DebtCon,0,ProfExe,0,0,1,0,0,1,0,0,87.45287008,2,23,37.00596784
0,7600,48829,62357,DebtCon,0,Office,0,1,0,0,0,3,0,1,92.94135782,2,12,35.67227361
0,7600,58622,77726,HomeImp,1,Other,0,0,0,0,0,15,0,0,249.6337607,2,36,34.88206644
0,7600,80900,99525,DebtCon,0,ProfExe,0,0,1,0,0,2,0,0,135.6401964,0,26,34.77708943
0,7700,32243,36369,HomeImp,1,ProfExe,0,0,1,0,0,12,0,0,180.4157867,0,13,21.72081838
0,7700,53377,86018,HomeImp,1,Other,0,0,0,0,0,16,0,0,187.1940112,0,28,24.21765848
0,7700,70451,81862,DebtCon,0,Sales,0,0,0,1,0,3,0,0,141.2686711,0,31,31.68194302
0,7700,20887,26958,DebtCon,0,Other,0,0,0,0,0,0,0,0,17.4607499,10,6,30.23350474
0,7700,76056,83643,HomeImp,1,Other,0,0,0,0,0,22,0,0,353.1956285,0,47,28.54452887
0,7700,51045,91068,HomeImp,1,Other,0,0,0,0,0,20,0,0,179.2409356,0,28,27.23109397
0,7800,58399,65945,DebtCon,0,Other,0,0,0,0,0,1,0,1,106.6313416,2,18,37.02476444
0,7800,58364,66688,DebtCon,0,Other,0,0,0,0,0,3,0,2,114.512158,3,18,37.92927387
0,7800,64503,85608,HomeImp,1,Other,0,0,0,0,0,12,0,0,235.4853772,0,35,34.42324885
0,7800,69662,80498,HomeImp,1,Other,0,0,0,0,0,4,0,0,100.428331,0,14,42.80734195
0,7800,45391,61743,DebtCon,0,Other,0,0,0,0,0,12,0,0,105.0875938,0,22,36.70541274
0,7800,38506,50309,DebtCon,0,Other,0,0,0,0,0,11,0,0,231.0011955,0,32,35.90611585
0,7800,55394,63567,DebtCon,0,Other,0,0,0,0,0,23,0,0,262.0143577,2,29,38.98393849
0,7800,53243,95065,HomeImp,1,ProfExe,0,0,1,0,0,7,0,0,220.8024443,2,24,31.82762682
1,7900,67222,75189,HomeImp,1,Other,0,0,0,0,0,4,0,0,95.67687269,0,23,36.97971203
0,7900,44690,45841,DebtCon,0,Office,0,1,0,0,0,10,0,0,185.6215923,0,22,32.28572409
0,7900,40827,55757,DebtCon,0,Other,0,0,0,0,0,14,0,0,87.60346244,0,11,31.8505639
0,7900,77221,95316,DebtCon,0,ProfExe,0,0,1,0,0,4,0,0,116.3094934,0,25,35.42979658
1,7900,55383,70020,DebtCon,0,Other,0,0,0,0,0,12,2,0,80.7789415,10,8,44.85897732
0,7900,78532,122952,HomeImp,1,Office,0,1,0,0,0,29,0,0,332.6450474,1,37,35.31155263
0,7900,41935,53543,DebtCon,0,Office,0,1,0,0,0,8,0,0,203.54461,1,22,31.4916868
0,8000,49232,61221,DebtCon,0,Other,0,0,0,0,0,23,0,0,258.1945777,3,29,41.24661263
0,8000,61565,87624,DebtCon,0,ProfExe,0,0,1,0,0,14,0,0,203.9971364,0,17,23.56256501
0,8000,82547,105361,DebtCon,0,ProfExe,0,0,1,0,0,24,0,0,52.59326412,2,13,32.16092259
0,8000,70546,81272,DebtCon,0,Sales,0,0,0,1,0,4,0,0,119.066922,0,31,33.3615863
1,8000,49685,81020,HomeImp,1,Other,0,0,0,0,0,2,0,3,129.3624659,0,15,47.00097522
1,8000,32100,36739,HomeImp,1,Other,0,0,0,0,0,4,0,0,79.45884505,2,8,31.27671568
0,8000,47154,65458,DebtCon,0,Office,0,1,0,0,0,2,0,0,99.99378983,3,12,38.8737113
1,8000,92487,113947,DebtCon,0,Other,0,0,0,0,0,8,0,3,151.8173887,0,19,26.45752445
0,8000,84282,121045,HomeImp,1,Office,0,1,0,0,0,28,0,0,330.1748556,1,37,35.36268639
0,8000,57361,71167,HomeImp,1,Mgr,1,0,0,0,0,2,0,1,130.767035,0,22,29.38198545
0,8000,58006,94930,HomeImp,1,ProfExe,0,0,1,0,0,4,0,0,223.2029895,2,24,30.91339584
0,8100,48781,50434,HomeImp,1,Other,0,0,0,0,0,5,0,0,75.63504768,0,18,24.54519214
0,8100,84822,123854,HomeImp,1,Office,0,1,0,0,0,31,0,0,340.7444307,2,38,36.20511455
0,8100,53863,74705,DebtCon,0,Other,0,0,0,0,0,0,0,0,66.29457039,8,21,26.04646942
0,8100,78977,91995,DebtCon,0,Mgr,1,0,0,0,0,19,0,0,296.7470948,1,23,38.82094029
0,8100,81322,97823,DebtCon,0,ProfExe,0,0,1,0,0,3,0,0,118.468506,0,25,32.71677759
0,8100,46380,58745,HomeImp,1,Other,0,0,0,0,0,7,0,0,78.36008764,0,18,22.37534117
