Date,opening_price,highest_price,lowest_price,closing_price,transactions_in_blockchain,avg_block_size,sent_by_adress,avg_mining_difficulty,avg_hashrate,mining_profitability,sent_coins_in_usd,avg_transaction_fees,median_transaction_fees,avg_block_time,avg_transaction_value,median_transaction_value,tweets,google_trends,active_addresses,top100_to_total_percentage,avg_fee_to_reward,number_of_coins_in_circulation,miner_revenue,next_day_closing_price
2013-04-11,165.0,188.7,110.2,124.9,68247,216494,76320,7673000,65886778608137.0,7092.0,192463385,0.107,0.0575,9.0,4028.0,115.115,8193.0,55.458,124611.0,20.19,1.5630000000000002,11020175.0,657821.213131992,117.0
2013-04-12,124.9,140.0,54.3,117.0,58517,163776,65468,7673000,63688279726654.0,6360.0,138461138,0.0891,0.0462,8.324,2789.0,98.59899999999999,8193.0,49.071000000000005,102963.0,20.136,1.291,11029400.0,440080.45981000003,93.0
2013-04-13,117.0,130.0,85.5,93.0,53350,145189,54832,7673000,62912871328188.0,6595.0,98980843,0.0743,0.0492,8.623,2395.0,70.79899999999999,8193.0,30.776,82837.0,20.137999999999998,0.958,11033475.0,375375.0,90.0
2013-04-14,93.0,110.0,84.4,90.0,55318,175169,44917,7673000,61636671163390.0,5779.0,60826050,0.0886,0.0459,9.412,1393.0,48.534,8193.0,26.059,71397.0,20.149,1.38,11031225.0,407971.672898,82.4
2013-04-15,90.0,102.0,71.5,82.4,54332,161887,58998,7673000,61994386305362.0,5865.0,76896248,0.11900000000000001,0.0436,8.78,1672.0,69.25399999999999,8193.0,25.505,100248.0,20.385,1.785,11042050.0,420602.0,68.4
2013-04-16,82.4,84.5,50.0,68.4,67608,181191,67120,7673000,68054656188210.0,4937.0,124159123,0.0578,0.0375,8.136000000000001,1984.0,54.821000000000005,8193.0,21.909000000000002,100365.0,20.518,1.165,11042475.0,362002.35771,93.1
2013-04-17,68.4,98.8,63.3,93.1,56535,163802,61384,8038276,67652617934419.0,5006.0,125329936,0.11199999999999999,0.0389,8.421,2375.0,70.344,8193.0,18.85,105254.0,20.389,1.876,11050300.0,309900.40909436,109.0
2013-04-18,93.1,113.0,86.0,109.0,46484,144419,54496,8974296,72151171083871.0,4878.0,548689876,0.0866,0.0473,9.796,11864.0,91.95700000000001,8193.0,18.021,82114.0,20.427,1.148,11053425.0,380032.74,118.5
2013-04-19,109.0,136.4,105.5,118.5,59391,211591,67336,8974296,59918797331804.0,6198.0,191347126,0.0994,0.0534,10.511,3353.0,91.794,8193.0,15.248,105015.0,20.424,1.594,11053700.0,454813.92,126.6
2013-04-20,118.5,132.0,115.0,126.6,48148,157408,49315,8974296,64763702820794.0,6887.0,106398333,0.11,0.0572,9.351,2602.0,63.022,8193.0,11.64,74501.0,20.546,1.19,11061400.0,463338.735088351,119.2
2013-04-21,126.6,130.5,110.0,119.2,44048,123053,45972,8974296,76580830433678.0,6616.0,103406588,0.0854,0.0571,8.182,2530.0,73.62,8193.0,12.200999999999999,69875.0,20.52,0.745,11065450.0,505793.925,127.4
2013-04-22,119.2,127.4,118.5,127.4,47041,147050,54023,8974296,72513318955570.0,6062.0,175229971,0.11199999999999999,0.0568,9.412,3960.0,85.425,8193.0,11.925999999999998,91717.0,20.518,1.204,11064875.0,546637.33683,143.5
2013-04-23,127.4,144.0,125.0,143.5,61500,174451,63399,8974296,72944892922583.0,7056.0,182480908,0.12,0.0604,8.571,3176.0,72.2,8193.0,13.864,93177.0,20.52,1.4409999999999998,11073800.0,560371.0005537,154.2
2013-04-24,143.5,166.4,141.0,154.2,64861,209559,63368,8974296,74219362802875.0,7469.0,241842361,0.13,0.0674,8.889,4566.0,77.78699999999999,8193.0,13.03,102538.0,20.311,1.5230000000000001,11077775.0,608258.04025,141.7
2013-04-25,154.2,162.0,120.1,141.7,62394,175633,62666,8974296,71363029014717.0,8539.0,218798349,0.136,0.0699,8.372,3672.0,91.25,8193.0,11.372,90770.0,20.382,1.393,11076050.0,589864.35,136.9
2013-04-26,141.7,145.0,121.4,136.9,55093,157591,58408,8974296,79161241475573.0,7248.0,147871019,0.098,0.0665,8.421,2893.0,91.286,8193.0,11.092,86205.0,20.42,0.9440000000000001,11086050.0,619929.370863019,128.0
2013-04-27,136.9,139.9,122.7,128.0,44222,147139,46192,8974296,72946223747758.0,6431.0,95533900,0.111,0.0632,9.796,2291.0,85.83200000000001,8193.0,9.702,78259.0,20.167,1.054,11090225.0,572109.88793,134.4
2013-04-28,128.0,136.7,127.5,134.4,41702,121938,45294,8974296,71142720780228.0,7773.0,63338129,0.0975,0.062,8.136000000000001,1703.0,72.582,8193.0,9.982000000000001,118060.0,20.183,0.7390000000000001,11087150.0,645240.0912,144.0
2013-04-29,134.4,149.1,133.0,144.0,51602,147484,54430,8974296,79016812809824.0,7263.0,110560621,0.11599999999999999,0.0653,8.276,4764.0,91.26100000000001,8193.0,9.708,86965.0,20.057000000000002,1.044,11098475.0,631409.784038169,139.2
2013-04-30,144.0,146.9,134.0,139.2,47450,181411,44309,9854414,79306324484339.0,6393.0,78727820,0.13,0.0672,9.664,2824.0,75.671,8193.0,9.148,76917.0,20.088,1.217,11098275.0,442507.28799999994,116.4
2013-05-01,139.2,140.1,104.0,116.4,55176,170298,54108,10076293,75031690568420.0,6340.0,108383140,0.0924,0.0623,9.536,3054.0,88.1,8193.0,11.205,83615.0,20.156,1.074,11105600.0,383775.10965,106.3
2013-05-02,116.4,126.9,91.1,106.3,55295,196845,52328,10076293,70601670548236.0,5352.0,89278015,0.106,0.0555,10.745999999999999,1811.0,71.153,8193.0,11.765,81968.0,20.215,1.548,11109275.0,409938.76215629996,98.1
2013-05-03,106.3,109.0,79.0,98.1,51275,182394,49175,10076293,70633926813267.0,5046.0,70332745,0.091,0.0513,10.511,1610.0,71.191,8193.0,12.325,82857.0,20.229,1.3130000000000002,11109450.0,435864.26268000004,112.9
2013-05-04,98.1,116.3,92.0,112.9,50102,157886,41555,10076293,74649241020316.0,5658.0,41872045,0.0957,0.0525,9.057,1047.0,46.458,8193.0,10.084,69993.0,20.203,1.139,11116975.0,458356.35888,116.0
2013-05-05,112.9,118.8,107.0,116.0,50167,152564,43934,10076293,75408284839627.0,6262.0,57458342,0.0827,0.0567,8.727,1435.0,59.378,8193.0,9.524,72149.0,20.175,0.882,11121050.0,470673.008996268,112.3
2013-05-06,116.0,124.9,106.0,112.3,53174,163102,50032,10076293,87037913347608.0,5457.0,84045320,0.113,0.0565,8.675,1810.0,64.307,8193.0,9.524,85210.0,20.096,1.264,11120550.0,474770.45,109.6
2013-05-07,112.3,114.0,97.5,109.6,56567,170960,57940,10076293,84183375461294.0,5568.0,95351737,0.0912,0.0552,8.571,1910.0,70.008,8193.0,8.402999999999999,109120.0,20.097,1.103,11129525.0,469929.84124,113.2
2013-05-08,109.6,116.8,109.5,113.2,50274,156512,55702,10076293,85479259498682.0,5355.0,79989908,0.113,0.0548,8.727,1799.0,76.058,8193.0,7.843,102439.0,20.125999999999998,1.249,11133675.0,500229.16755516396,112.8
2013-05-09,113.2,113.7,108.8,112.8,66610,189043,56865,10076293,82997649928813.0,5442.0,61885986,0.107,0.0542,8.78,1135.0,59.976000000000006,8193.0,8.402999999999999,81940.0,20.137,1.585,11131800.0,498374.8,117.7
2013-05-10,112.8,122.5,111.5,117.7,67709,190560,56144,10076293,83613260357587.0,5770.0,77351721,0.105,0.0553,8.372,1487.0,59.973,8193.0,7.843,84341.0,20.063,1.476,11142225.0,512145.2,115.6
2013-05-11,117.7,118.7,113.0,115.6,73220,190552,54054,10076293,87548794241384.0,5926.0,64413654,0.0948,0.0563,7.912000000000001,1054.0,46.253,8193.0,7.2829999999999995,80919.0,20.028,1.341,11142850.0,558237.023049608,114.8
2013-05-12,115.6,117.5,112.4,114.8,65260,182095,46321,10301131,91482612244649.0,5199.0,51301271,0.0969,0.11199999999999999,8.571,958.6569999999999,52.908,8193.0,7.2829999999999995,69607.0,20.009,1.3319999999999999,11151175.0,535813.5888,118.0
2013-05-13,114.8,118.9,114.5,118.0,60824,168713,52214,11187257,95544673466887.0,5179.0,74564292,0.10800000000000001,0.0561,8.276,2074.0,66.581,8193.0,8.402999999999999,82796.0,20.000999999999998,1.331,11154850.0,443751.0,111.4
2013-05-14,118.0,119.8,109.4,111.4,66316,201835,55907,11187257,90886609199962.0,4670.0,72700627,0.094,0.0543,9.351,1303.0,56.878,8193.0,8.402999999999999,83723.0,20.022000000000002,1.472,11154125.0,490866.124125639,114.2
2013-05-15,111.4,116.4,103.0,114.2,64030,217910,56094,11187257,81734166656643.0,4587.0,65554034,0.0988,0.0523,10.213,1228.0,61.821999999999996,8193.0,9.524,84759.0,20.046,1.6909999999999998,11162150.0,423762.26368000003,118.2
2013-05-16,114.2,119.0,112.1,118.2,61010,201059,55166,11187257,81124937273190.0,4982.0,64475996,0.136,0.0535,9.73,1259.0,67.321,8193.0,8.402999999999999,84162.0,20.142,2.053,11166175.0,512027.37,123.5
2013-05-17,118.2,125.6,116.6,123.5,58570,173925,50663,11187257,86183643050509.0,5231.0,75258648,0.105,0.0552,8.943999999999999,1620.0,68.267,8193.0,7.843,78453.0,20.111,1.361,11165250.0,490901.81071408,123.2
2013-05-18,123.5,125.3,122.3,123.2,52066,167466,44609,11187257,81582905961037.0,5206.0,66876301,0.0857,0.0564,9.664,1618.0,80.035,8193.0,7.843,68371.0,20.113,1.054,11173700.0,471151.04176000005,122.5
2013-05-19,123.2,124.5,119.5,122.5,47664,141489,41739,11187257,90314218425354.0,4934.0,43512417,0.11199999999999999,0.0565,9.231,1003.0,57.043,8193.0,9.524,64226.0,20.098,1.198,11177150.0,429152.38499,122.0
2013-05-20,122.5,123.7,120.1,122.0,48692,180891,46665,11187257,78831535490995.0,4693.0,55737414,0.10099999999999999,0.0566,11.163,1263.0,75.782,8193.0,8.402999999999999,71676.0,20.11,1.3330000000000002,11176375.0,398718.88392834604,122.9
2013-05-21,122.0,123.1,121.1,122.9,53791,173930,54799,11187257,78234657754155.0,5631.0,69388155,0.0997,0.0576,9.536,1439.0,88.835,8193.0,7.2829999999999995,82573.0,20.084,1.22,11185025.0,515701.2,123.8
2013-05-22,122.9,124.5,122.0,123.8,51834,158817,49734,11187257,88443185314328.0,5211.0,76830429,0.11199999999999999,0.0583,9.231,1669.0,92.055,8193.0,6.723,74802.0,20.132,1.2670000000000001,11189050.0,512482.26,126.3
2013-05-23,123.8,126.9,123.0,126.3,59615,162192,57375,11187257,90431457737529.0,5784.0,74254762,0.11199999999999999,0.0593,8.276,1406.0,90.044,8193.0,6.162999999999999,83266.0,20.112000000000002,1.285,11187500.0,548198.01918393,133.1
2013-05-24,126.3,134.0,125.4,133.1,55232,158925,55062,11187257,95283232048976.0,5588.0,86918977,0.109,0.0623,8.521,1707.0,99.751,8193.0,6.162999999999999,84962.0,20.143,1.1340000000000001,11197400.0,577864.95,132.0
2013-05-25,133.1,133.5,128.2,132.0,51115,148936,43271,11450754,95027092812990.0,5608.0,81711332,0.11800000000000001,0.0639,8.727,1822.0,75.408,8193.0,6.162999999999999,69624.0,19.901,1.137,11201425.0,543560.62555,133.5
2013-05-26,132.0,136.0,130.6,133.5,40559,133314,40521,12153412,99559840402907.0,5311.0,45607015,0.1,0.0644,8.834,1216.0,84.322,8193.0,5.602,69657.0,19.908,0.7709999999999999,11198625.0,548644.8134716729,129.8
2013-05-27,133.5,135.5,124.0,129.8,52582,148505,45900,12153412,104776522451930.0,5450.0,75633075,0.11900000000000001,0.0642,8.182,1611.0,73.29899999999999,8193.0,5.602,73994.0,19.976,1.103,11209775.0,526629.384,129.0
2013-05-28,129.8,130.6,125.4,129.0,56912,169509,50624,12153412,96339507342859.0,5226.0,79555669,0.121,0.0629,9.113999999999999,1559.0,90.398,8193.0,7.2829999999999995,76227.0,19.977,1.3719999999999999,11209825.0,552544.72494,132.3
2013-05-29,129.0,132.7,127.6,132.3,54892,159992,54008,12153412,100634321949710.0,5342.0,84914132,0.12,0.0632,8.571,1857.0,99.887,8193.0,8.402999999999999,80558.0,19.927,1.23,11218200.0,568010.48119275,128.8
2013-05-30,132.3,132.4,126.5,128.8,57247,156239,51861,12153412,103366950087420.0,5567.0,73009718,0.106,0.0636,8.045,1385.0,91.552,8193.0,7.2829999999999995,78228.0,19.945999999999998,1.053,11222850.0,598246.70256,128.8
2013-05-31,128.8,130.0,126.3,128.8,54171,147277,51248,12153412,110197290767220.0,5071.0,75431480,0.105,0.0632,8.229,1568.0,104.96600000000001,8193.0,6.723,75479.0,19.878,1.023,11220925.0,644576.05605,129.3
2013-06-01,128.8,129.8,127.1,129.3,54098,124785,45028,12153412,116123605538450.0,5865.0,55241753,0.0968,0.0647,6.761,1135.0,72.57,8193.0,6.162999999999999,67806.0,19.881,0.772,11232900.0,750633.183040245,122.5
2013-06-02,129.3,130.1,115.0,122.5,49748,121260,41308,12153412,127241095323390.0,4901.0,47080357,0.122,0.0621,7.236000000000001,1065.0,78.22,8193.0,6.723,65828.0,19.884,0.976,11232250.0,632880.10548,120.7
2013-06-03,122.5,122.8,115.1,120.7,55661,126405,50085,12153412,124378099733740.0,5209.0,83847047,0.127,0.0602,6.761,1676.0,87.36200000000001,8193.0,5.602,79854.0,19.797,1.0979999999999999,11243375.0,640691.07182,121.4
2013-06-04,120.7,124.0,118.8,121.4,57409,129712,52194,12153412,125284058845920.0,5139.0,70114385,0.113,0.0598,6.761,1364.0,97.318,8193.0,6.162999999999999,78631.0,19.784000000000002,1.012,11243600.0,674785.549424747,121.9
2013-06-05,121.4,123.5,119.5,121.9,56376,147738,48878,13466757,139033002270500.0,4025.0,74109198,0.128,0.06,7.8260000000000005,1439.0,82.056,8193.0,5.602,78667.0,19.869,1.294,11252875.0,542260.08014,119.0
2013-06-06,121.9,123.3,117.0,119.0,54457,143446,50622,15605633,142389875060430.0,3829.0,83075105,0.0905,0.0597,7.956,1649.0,78.77199999999999,8193.0,5.042,73267.0,19.817,0.907,11256900.0,448349.21565,111.0
2013-06-07,119.0,119.1,106.2,111.0,52027,154774,51368,15605633,125201034232100.0,3733.0,70578908,0.0866,0.0575,8.943999999999999,1486.0,98.73299999999999,8193.0,5.602,73768.0,19.816,0.9670000000000001,11254800.0,483513.334941159,107.9
2013-06-08,111.0,113.2,107.0,107.9,48037,122841,38891,15605633,131832685235600.0,3834.0,39307053,0.106,0.0553,7.956,909.799,77.985,8193.0,5.602,58257.0,19.852,1.012,11265275.0,414659.06495,100.4
2013-06-09,107.9,109.0,88.0,100.4,44312,133968,37114,15605633,135642267203860.0,3133.0,67749541,0.0862,0.053,9.057,1599.0,71.689,8193.0,7.2829999999999995,56600.0,19.914,0.902,11266025.0,475927.22433999996,106.3
2013-06-10,100.4,110.6,95.0,106.3,44826,118654,42173,15605633,135862933180720.0,3358.0,47961592,0.08,0.052000000000000005,8.276,1124.0,80.152,8193.0,6.162999999999999,60963.0,19.909000000000002,0.789,11274175.0,494760.665586696,109.0
2013-06-11,106.3,109.6,103.2,109.0,49483,123117,45422,15605633,131333121773560.0,3690.0,58356626,0.10300000000000001,0.0533,8.0,1274.0,81.931,8193.0,6.162999999999999,66609.0,19.881,1.052,11279175.0,545461.0164300001,108.8
2013-06-12,109.0,112.3,106.0,108.8,45704,106190,43353,15605633,150324551304890.0,3678.0,55654391,0.10099999999999999,0.054000000000000006,7.093999999999999,1335.0,87.854,8193.0,6.162999999999999,63763.0,19.976,0.835,11277450.0,530067.0,103.9
2013-06-13,108.8,110.3,100.3,103.9,43007,108034,46238,15605633,154944785237290.0,3238.0,60666906,0.102,0.0535,7.742000000000001,1499.0,106.838,8193.0,5.042,66341.0,19.971,0.875,11288300.0,517965.950830181,100.0
2013-06-14,103.9,104.7,97.1,100.0,49992,130612,55817,15605633,137175999994310.0,3401.0,70373331,0.0747,0.0514,8.0,1489.0,96.777,8193.0,5.042,75762.0,19.998,0.804,11288500.0,452440.80126000004,99.8
2013-06-15,100.0,103.7,97.5,99.8,35653,96541,37365,15605633,137670921556020.0,3173.0,38748897,0.0928,0.0501,8.324,1155.0,91.15100000000001,8193.0,5.042,53810.0,20.004,0.7609999999999999,11297375.0,470400.0,99.9
2013-06-16,99.8,101.8,98.9,99.9,42781,106424,34036,15948723,146933281215580.0,3180.0,47355820,0.0734,0.0502,7.784,1205.0,56.681999999999995,8193.0,5.042,48785.0,20.032,0.675,11301225.0,474220.279189203,101.9
2013-06-17,99.9,102.4,98.9,101.9,45798,143147,41101,19339258,158520121410000.0,2330.0,55165386,0.0811,0.0504,9.931000000000001,1263.0,65.66,8193.0,5.042,56902.0,20.043,1.01,11299700.0,395839.50314,107.3
2013-06-18,101.9,113.3,101.0,107.3,45877,149470,44895,19339258,144116537041820.0,2545.0,62073715,0.0853,0.0518,10.286,1441.0,82.565,8193.0,6.162999999999999,63562.0,20.043,1.071,11308000.0,340866.435,108.3
2013-06-19,107.3,111.0,104.7,108.3,46895,160240,48670,19339258,121673246897650.0,2969.0,56517915,0.0838,0.0526,10.588,1294.0,75.327,8193.0,4.482,69145.0,20.077,1.091,11311650.0,369143.30678333796,111.3
2013-06-20,108.3,114.5,107.1,111.3,52361,158334,47024,19339258,143202406382950.0,2897.0,71831011,0.141,0.0529,9.351,1506.0,64.72399999999999,8193.0,4.482,67644.0,20.07,1.788,11310750.0,486180.0,109.5
2013-06-21,111.3,115.0,107.6,109.5,46859,132074,49127,19339258,151756582481020.0,2966.0,68084683,0.0973,0.053,8.571,1617.0,97.501,8193.0,5.042,69098.0,20.083,1.0170000000000001,11320275.0,473996.05,108.2
2013-06-22,109.5,110.0,107.5,108.2,44418,117606,40010,19339258,169050928692590.0,2732.0,40788284,0.13,0.0518,8.182,1011.0,73.044,8193.0,4.482,58577.0,20.048,1.252,11324675.0,500599.417947664,107.9
2013-06-23,108.2,109.0,106.2,107.9,38342,106761,34369,19339258,168343633783320.0,2511.0,30952948,0.0872,0.0508,8.727,889.345,65.53699999999999,8193.0,5.602,52055.0,20.08,0.795,11321800.0,368313.32832,102.1
2013-06-24,107.9,108.3,100.8,102.1,44095,135393,44699,19339258,146867430420070.0,2541.0,55900908,0.0875,0.0492,9.6,1349.0,80.036,8193.0,5.602,64862.0,20.082,1.038,11331950.0,388045.8044,103.3
2013-06-25,102.1,110.0,100.0,103.3,44472,127941,43677,19339258,148905794989120.0,2585.0,65842281,0.0739,0.0486,9.172,1554.0,77.311,8193.0,6.162999999999999,61381.0,20.03,0.857,11332900.0,407676.785224876,104.0
2013-06-26,103.3,105.5,101.8,104.0,45453,120686,45178,19339258,168082785375540.0,2560.0,56389788,0.0869,0.049,8.276,1348.0,83.884,8193.0,5.042,64996.0,20.052,0.9209999999999999,11340825.0,429970.61183,101.7
2013-06-27,104.0,104.0,100.1,101.7,45961,127398,43460,19339258,153518774025820.0,2646.0,49345723,0.0646,0.0483,8.623,1178.0,81.02600000000001,8193.0,5.602,61024.0,20.083,0.7340000000000001,11345025.0,410408.76006,94.7
2013-06-28,101.7,101.8,92.3,94.7,49383,135333,49794,19339258,166017555438830.0,2374.0,56654059,0.0898,0.0461,8.521,1228.0,79.156,8193.0,5.042,68613.0,20.102999999999998,1.129,11343975.0,445143.52107156103,95.0
2013-06-29,94.7,100.4,93.0,95.0,36376,105713,38965,20177844,165555822697160.0,2292.0,42690104,0.0599,0.0446,8.521,1295.0,75.736,8193.0,4.482,60981.0,20.145,0.5770000000000001,11353150.0,397483.5,97.5
2013-06-30,95.0,98.1,93.8,97.5,30800,92590,34295,21335329,175492775969890.0,1973.0,34011345,0.0849,0.0449,9.412,1191.0,64.357,8193.0,6.162999999999999,50492.0,20.147000000000002,0.759,11356975.0,350888.28799999994,88.1
2013-07-01,97.5,98.2,86.0,88.1,38971,113290,48203,21335329,166290130280280.0,2033.0,69610060,0.053,0.0428,9.172,1893.0,105.117,8193.0,6.772,68676.0,20.211,0.613,11355125.0,388930.47029171,90.4
2013-07-02,88.1,92.6,87.5,90.4,39497,117288,45002,21335329,166527612147460.0,1929.0,57491463,0.075,0.0416,9.412,1541.0,99.089,8193.0,10.468,64158.0,20.250999999999998,0.925,11365275.0,364651.2,78.9
2013-07-03,90.4,91.2,76.0,78.9,35347,85993,46663,21335329,178856205853860.0,2107.0,63630073,0.0649,0.0407,7.8260000000000005,1863.0,128.995,8193.0,7.362,66024.0,20.262,0.612,11366250.0,340825.8,80.0
2013-07-04,78.9,84.3,72.0,80.0,35127,97233,42076,21335329,186565594700210.0,1745.0,64761044,0.0521,0.0392,8.727,1908.0,84.779,8193.0,6.027,60868.0,20.347,0.565,11373950.0,367089.51583969104,68.5
2013-07-05,80.0,80.6,65.4,68.5,36851,90214,42636,21335329,186846154803390.0,1830.0,67984128,0.0643,0.0365,7.742000000000001,2109.0,73.85600000000001,8193.0,6.772,60509.0,20.429000000000002,0.6970000000000001,11378650.0,328076.02061999997,69.7
2013-07-06,68.5,75.0,66.8,69.7,33185,84268,34993,21335329,189091057145940.0,1642.0,44046900,0.0593,0.033,7.7010000000000005,1376.0,52.931000000000004,8193.0,6.182,56535.0,20.543000000000003,0.637,11377475.0,332859.864,76.5
2013-07-07,69.7,77.0,66.6,76.5,30170,76067,30829,21335329,207052622059040.0,1573.0,43322272,0.0426,0.0349,7.742000000000001,1469.0,56.401,8193.0,5.4670000000000005,48847.0,20.535,0.397,11387975.0,338639.273125113,76.0
2013-07-08,76.5,80.0,72.5,76.0,39437,94466,45211,21335329,199123851190890.0,1785.0,59004473,0.0612,0.0368,7.5,1546.0,74.17399999999999,8193.0,5.157,63045.0,20.592,0.682,11388600.0,386219.2246,76.7
2013-07-09,76.0,78.3,72.5,76.7,40647,103268,47657,21335329,204281187072220.0,1654.0,79818442,0.062,0.0362,7.784,2053.0,92.929,8193.0,5.5920000000000005,67986.0,20.6,0.7490000000000001,11397275.0,338011.24599,88.0
2013-07-10,76.7,89.8,75.5,88.0,39043,92955,46482,21335329,196819619377060.0,1892.0,78189845,0.0514,0.038,7.385,2109.0,108.816,8193.0,5.5920000000000005,64858.0,20.575,0.541,11402075.0,379783.436091007,89.0
2013-07-11,88.0,90.7,85.0,89.0,43260,115196,54944,26107387,240595812101000.0,1485.0,82003064,0.0665,0.0407,8.276,2003.0,147.352,8193.0,5.312,73357.0,20.594,0.809,11399725.0,406554.6,94.0
2013-07-12,89.0,104.2,88.0,94.0,48106,151944,60243,26162876,227617912327730.0,1449.0,83476181,0.0544,0.0425,9.351,1792.0,101.45700000000001,8193.0,5.437,78451.0,20.506,0.7959999999999999,11409975.0,364781.0,98.3
2013-07-13,94.0,98.3,87.8,98.3,37813,115473,42899,26162876,190596874831100.0,1830.0,73622795,0.0783,0.044000000000000004,9.172,2026.0,89.85700000000001,8193.0,4.691,63116.0,20.417,0.852,11414050.0,391012.10940677795,94.4
2013-07-14,98.3,99.0,92.9,94.4,34761,97329,31966,26162876,220188809167950.0,1731.0,46944200,0.0582,0.0441,8.372,1459.0,59.152,8193.0,4.131,48402.0,20.359,0.5329999999999999,11410900.0,422816.43768000003,98.9
2013-07-15,94.4,101.9,93.1,98.9,36590,104907,41558,26162876,216848056980900.0,1698.0,58784330,0.0545,0.0446,8.78,1698.0,79.516,8193.0,5.002,62325.0,20.322,0.544,11422425.0,401039.34,97.1
2013-07-16,98.9,100.7,96.0,97.1,39228,110884,48335,26162876,219669524659830.0,1693.0,80004524,0.0822,0.045,8.78,2162.0,102.289,8193.0,4.721,66221.0,20.283,0.871,11422050.0,481548.69716253603,98.5
2013-07-17,97.1,100.0,96.2,98.5,40459,100827,45703,26162876,216260759615540.0,1902.0,87541809,0.0739,0.0444,7.8260000000000005,2351.0,89.723,8193.0,4.4110000000000005,63007.0,20.35,0.73,11430950.0,391160.84326999995,90.1
2013-07-18,98.5,98.8,86.2,90.1,41009,117039,45106,26162876,227686313934710.0,1543.0,80792409,0.0789,0.0432,8.943999999999999,2105.0,98.708,8193.0,4.4110000000000005,63178.0,20.664,0.924,11435175.0,397743.27155999996,92.0
2013-07-19,90.1,95.2,87.6,92.0,36588,96865,43518,26162876,219223020492820.0,1643.0,64655598,0.0484,0.0419,8.421,1859.0,83.83,8193.0,4.4110000000000005,58759.0,20.55,0.494,11433325.0,391613.021306059,89.8
2013-07-20,92.0,93.1,89.3,89.8,33516,82983,32982,26162876,238364784765550.0,1644.0,38756285,0.0575,0.0419,7.742000000000001,1222.0,50.843999999999994,8193.0,3.821,52399.0,20.518,0.494,11444725.0,435894.89099,92.0
2013-07-21,89.8,92.0,88.0,92.0,35257,82978,35799,26162876,242288390096080.0,1731.0,39161080,0.0584,0.0419,7.236000000000001,1164.0,63.232,8193.0,4.256,51123.0,20.528000000000002,0.494,11444675.0,414973.54799999995,91.6
2013-07-22,92.0,92.0,89.8,91.6,39814,109853,43280,27181693,261590929856980.0,1337.0,71264980,0.0692,0.0421,8.727,1892.0,79.024,8193.0,5.157,60318.0,20.539,0.7909999999999999,11452850.0,386439.92385778,95.6
