Python,DeepLearning,MachineLearning,BigData,CloudComputing,Placement
0.99,0.56,0.76,0.85,0.05,Yes
0.69,0.7,0.83,0.05,0.89,Yes
0.83,0.11,0.1,0.09,0.05,Yes
0.32,0.92,0.21,0.64,0.92,Yes
0.86,0.83,0.39,0.93,0.63,Yes
0.03,0.92,0.06,0.88,0.46,Yes
0.07,0.9,0.51,0.26,0.61,Yes
0.34,0.92,0.54,0.02,0.66,Yes
0.99,0.42,0.05,0.68,0.85,Yes
0.13,0.77,0.43,0.52,0.6,Yes
0.7,0.02,0.55,0.94,0.48,Yes
0.24,0.94,0.91,0.95,0.19,Yes
0.71,0.74,0.84,0.48,0.69,Yes
0.1,0.23,0.1,0.54,0.95,Yes
0.12,0.68,0.65,0.53,0.49,Yes
0.05,0.72,0.85,0.52,0.27,Yes
0.26,0.83,0.67,0.89,0.15,Yes
0.65,0.69,0.24,0.64,0.88,Yes
0.86,0.35,0.33,0.26,0.03,Yes
0.16,0.52,0.9,0.2,0.79,Yes
0.39,0.69,0.2,0.98,0.22,No
0.73,0.68,0.25,0.21,0.44,No
0.94,0.39,0.2,0.78,0.5,No
0.44,1,0.03,0.05,0.83,No
0.75,0.06,0.57,0.11,0.38,No
0.8,0.24,0.47,0.86,0.33,No
0.26,0.92,0.81,0.65,0.1,No
0.55,0.41,0.28,0.7,0.75,No
0.88,0.05,0.48,0.01,0.07,No
0.23,0.92,0.17,0.86,0.79,No
1,0.35,0.8,0.91,0.87,No
0.29,0.46,0.24,0.46,0.1,No
0.62,0.13,0.1,0.41,0.77,No
0.98,0.42,0.36,0.03,0.43,No
0.47,0.13,0.78,0.1,0.11,Yes
0.14,0.49,0.19,0.33,0.85,Yes
0.95,0.65,0.62,0.74,0.61,Yes
0.6,0.99,0.66,0.71,0.93,Yes
0.87,0.23,0.97,0.45,0.42,Yes
